Video Id,Video-Level Label,Target Victim
bit_0EHvMSiEHVoc,['violence'],[]
bit_0SYLs1h6WtM2,"['hateful', 'insulting', 'sexual']",['White']
bit_0ZrexCZJ860o,['violence'],[]
bit_0dcMcI6hYjhw,"['hateful', 'insulting']","['Black', 'Jew', 'Transgender', 'Asian', 'Gay']"
bit_0e61b9MSI4mx,['normal'],[]
bit_0ikioG8LBXn6,"['hateful', 'insulting', 'sexual', 'violence']",['Communist']
bit_1MmYUYfYLBQM,"['hateful', 'insulting']",['Islam']
bit_1R6aAMuJnH2t,"['hateful', 'insulting']",['Man']
bit_1tSlrQp29rhp,"['insulting', 'sexual']",[]
bit_1yMeybakjXHe,"['hateful', 'insulting', 'sexual', 'violence']",['Communist']
bit_2AX22tKwbovE,['violence'],[]
bit_2Fi9L4EcJScv,"['insulting', 'sexual', 'violence']",[]
bit_2ZR4SYsWDs7V,"['insulting', 'violence']",[]
bit_2cXiiOmtrsmJ,"['hateful', 'insulting', 'violence']","['Black', 'Asian']"
bit_2fiDtpXIXSC1,"['hateful', 'violence']","['Black', 'White']"
bit_2tGMW5T5IbNz,['insulting'],[]
bit_31rJviGNq6yk,['violence'],[]
bit_3Cgl0tIPDmSq,"['hateful', 'insulting', 'harm']","['Black', 'Others']"
bit_3lxjBTnw66Su,['normal'],[]
bit_4BVcDK677Zp7,"['insulting', 'sexual', 'violence']",[]
bit_4Mot8c6m4NAC,['normal'],[]
bit_4WYFmPh9YTDk,"['insulting', 'violence']",[]
bit_4saTrb0KOoEQ,['insulting'],[]
bit_4yee1Mr43VsZ,"['insulting', 'violence']",[]
bit_5AGwQFvbnvLx,['normal'],"['White', 'Others']"
bit_5ETFPwUAKnLf,"['insulting', 'violence']",[]
bit_5bmNcjtNGQqi,"['hateful', 'insulting']",['Transgender']
bit_5oohHTlN52w4,"['hateful', 'insulting']",['Jew']
bit_5u5WDGSqZfNW,"['hateful', 'insulting', 'sexual', 'violence']",['Jew']
bit_6V0WfQmyP216,"['hateful', 'insulting', 'sexual', 'violence']",['Communist']
bit_6VJNfqBDbOdK,"['hateful', 'insulting', 'violence']","['White', 'Others', 'Black', 'Jew', 'Transgender', 'Arab', 'Lesbian', 'Gay']"
bit_6aHW6jocI9kJ,"['hateful', 'insulting']","['Black', 'Jew', 'Latino', 'Others']"
bit_6bbEQLuR9tFk,"['hateful', 'insulting']",['Transgender']
bit_6eci5TdlxMW7,['violence'],[]
bit_70K5DyQOTWax,['hateful'],['Others']
