Video Id,Segment-Level Label,Segment Timestamp
bit_0EHvMSiEHVoc,"[[1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]","[['0.00', '1.00'], ['1.00', '10.80'], ['10.80', '17.66'], ['17.66', '27.22'], ['27.22', '36.24'], ['36.24', '44.96'], ['44.96', '50.64'], ['50.64', '55.68'], ['55.68', '63.64'], ['63.64', '73.36'], ['73.36', '78.64'], ['78.64', '86.32'], ['86.32', '89.32'], ['89.32', '101.00'], ['101.00', '104.76'], ['104.76', '114.00'], ['114.00', '121.28'], ['121.28', '130.88'], ['130.88', '137.08'], ['137.08', '142.56'], ['142.56', '163.20'], ['163.20', '171.28'], ['171.28', '181.16'], ['181.16', '186.36'], ['186.36', '194.68'], ['194.68', '203.20'], ['203.20', '207.64'], ['207.64', '216.12'], ['216.12', '226.85']]"
bit_0SYLs1h6WtM2,"[[1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]","[['0.00', '32.02'], ['32.02', '36.92'], ['36.92', '44.72'], ['44.72', '50.78'], ['50.78', '56.90'], ['56.90', '62.76'], ['62.76', '68.92'], ['68.92', '83.92'], ['83.92', '89.92'], ['89.92', '95.92'], ['95.92', '102.92'], ['102.92', '108.92'], ['108.92', '126.92'], ['126.92', '141.92'], ['141.92', '147.92'], ['147.92', '154.92'], ['154.92', '161.92'], ['161.92', '167.92'], ['167.92', '173.92'], ['173.92', '184.92'], ['184.92', '203.92'], ['203.92', '214.92'], ['214.92', '215.15'], ['215.15', '215.16']]"
bit_0ZrexCZJ860o,"[[1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]","[['0.00', '6.00'], ['6.00', '11.00'], ['11.00', '18.00'], ['18.00', '24.00'], ['24.00', '29.00'], ['29.00', '39.00'], ['39.00', '42.00'], ['42.00', '50.00'], ['50.00', '57.00'], ['57.00', '60.00'], ['60.00', '69.00'], ['69.00', '77.00'], ['77.00', '87.00'], ['87.00', '96.00'], ['96.00', '107.00'], ['107.00', '114.00'], ['114.00', '121.00'], ['121.00', '130.00'], ['130.00', '138.00'], ['138.00', '151.00'], ['151.00', '156.00'], ['156.00', '163.00'], ['163.00', '171.00'], ['171.00', '181.00'], ['181.00', '185.00'], ['185.00', '185.19']]"
bit_0dcMcI6hYjhw,"[[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0]]","[['0.00', '10.00'], ['10.00', '17.00'], ['17.00', '22.00'], ['22.00', '29.00'], ['29.00', '35.00'], ['35.00', '44.00'], ['44.00', '51.00'], ['51.00', '52.00'], ['52.00', '62.00'], ['62.00', '68.00'], ['68.00', '69.00'], ['69.00', '82.00'], ['82.00', '91.00'], ['91.00', '99.00'], ['99.00', '107.00'], ['107.00', '116.00'], ['116.00', '117.00'], ['117.00', '127.00'], ['127.00', '130.00'], ['130.00', '135.00'], ['135.00', '143.00'], ['143.00', '153.00'], ['153.00', '162.00'], ['162.00', '168.00'], ['168.00', '177.00'], ['177.00', '187.00'], ['187.00', '194.00'], ['194.00', '199.00'], ['199.00', '205.00'], ['205.00', '211.00'], ['211.00', '219.00'], ['219.00', '222.00'], ['222.00', '222.63']]"
bit_0e61b9MSI4mx,"[[1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]","[['0.00', '1.00'], ['1.00', '30.00'], ['30.00', '35.00'], ['35.00', '57.00'], ['57.00', '68.00'], ['68.00', '80.00'], ['80.00', '177.00'], ['177.00', '187.00'], ['187.00', '198.00'], ['198.00', '208.00'], ['208.00', '209.00'], ['209.00', '226.40']]"
bit_0ikioG8LBXn6,"[[1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 1, 0, 0]]","[['0.00', '8.00'], ['8.00', '14.78'], ['14.78', '24.78'], ['24.78', '30.00'], ['30.00', '39.00'], ['39.00', '47.00'], ['47.00', '56.00'], ['56.00', '57.00'], ['57.00', '72.00'], ['72.00', '80.00'], ['80.00', '87.00'], ['87.00', '101.00'], ['101.00', '102.00'], ['102.00', '111.00'], ['111.00', '119.00'], ['119.00', '131.00'], ['131.00', '141.00'], ['141.00', '151.00'], ['151.00', '153.00'], ['153.00', '170.00'], ['170.00', '177.00'], ['177.00', '185.00'], ['185.00', '193.00'], ['193.00', '200.00'], ['200.00', '246.66']]"
bit_1MmYUYfYLBQM,"[[0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0]]","[['0.00', '10.00'], ['10.00', '16.00'], ['16.00', '25.00'], ['25.00', '46.00'], ['46.00', '55.00'], ['55.00', '65.00'], ['65.00', '73.00'], ['73.00', '81.00'], ['81.00', '89.00'], ['89.00', '93.00'], ['93.00', '101.00'], ['101.00', '115.00'], ['115.00', '118.00'], ['118.00', '130.00'], ['130.00', '139.00'], ['139.00', '145.00'], ['145.00', '153.00'], ['153.00', '167.00'], ['167.00', '180.00'], ['180.00', '193.00'], ['193.00', '195.00'], ['195.00', '198.56']]"
bit_1R6aAMuJnH2t,"[[1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]","[['0.00', '22.00'], ['22.00', '28.72'], ['28.72', '35.66'], ['35.66', '43.98'], ['43.98', '49.26'], ['49.26', '57.22'], ['57.22', '62.22'], ['62.22', '68.12'], ['68.12', '77.62'], ['77.62', '85.78'], ['85.78', '94.48'], ['94.48', '103.06'], ['103.06', '108.06'], ['108.06', '114.02'], ['114.02', '122.30'], ['122.30', '131.14'], ['131.14', '136.22'], ['136.22', '142.78'], ['142.78', '147.68'], ['147.68', '154.40'], ['154.40', '156.40'], ['156.40', '165.44'], ['165.44', '166.44'], ['166.44', '178.36'], ['178.36', '188.32'], ['188.32', '195.88'], ['195.88', '202.44'], ['202.44', '214.02']]"
bit_1tSlrQp29rhp,"[[0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]","[['0.00', '9.94'], ['9.94', '18.70'], ['18.70', '27.30'], ['27.30', '33.96'], ['33.96', '43.44'], ['43.44', '49.24'], ['49.24', '54.44'], ['54.44', '63.94'], ['63.94', '69.74'], ['69.74', '78.28'], ['78.28', '85.54'], ['85.54', '93.54'], ['93.54', '100.74'], ['100.74', '111.02'], ['111.02', '120.38'], ['120.38', '129.26'], ['129.26', '138.34'], ['138.34', '146.62'], ['146.62', '156.38'], ['156.38', '160.14'], ['160.14', '166.70'], ['166.70', '175.46'], ['175.46', '183.30'], ['183.30', '193.26'], ['193.26', '202.10'], ['202.10', '211.94'], ['211.94', '219.58'], ['219.58', '228.86'], ['228.86', '238.82'], ['238.82', '249.58'], ['249.58', '256.58'], ['256.58', '263.58'], ['263.58', '272.58'], ['272.58', '278.58'], ['278.58', '278.63']]"
bit_1yMeybakjXHe,"[[0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 1, 0], [0, 1, 1, 0, 1, 0], [0, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0], [0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 1, 0], [0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 1, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 1, 1, 1, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]","[['0.00', '8.00'], ['8.00', '14.78'], ['14.78', '24.78'], ['24.78', '30.00'], ['30.00', '39.00'], ['39.00', '47.00'], ['47.00', '56.00'], ['56.00', '57.00'], ['57.00', '72.00'], ['72.00', '80.00'], ['80.00', '84.00'], ['84.00', '91.00'], ['91.00', '96.00'], ['96.00', '104.00'], ['104.00', '111.00'], ['111.00', '119.00'], ['119.00', '131.00'], ['131.00', '139.00'], ['139.00', '147.00'], ['147.00', '155.00'], ['155.00', '159.00'], ['159.00', '169.00'], ['169.00', '177.00'], ['177.00', '182.00'], ['182.00', '190.00'], ['190.00', '196.00'], ['196.00', '197.00'], ['197.00', '224.00'], ['224.00', '227.00'], ['227.00', '246.68']]"
